epoch,train_loss,train_accuracy
0,3.2214016914367676,4.0
1,3.1106574535369873,12.0
2,3.0291759967803955,12.0
3,2.976132869720459,12.0
4,2.927109479904175,8.0
5,2.8869030475616455,12.0
6,2.8450663089752197,24.0
7,2.803372859954834,36.0
8,2.7583773136138916,44.0
9,2.7198727130889893,56.0
10,2.6799612045288086,52.0
11,2.627842903137207,48.0
12,2.583937168121338,48.0
13,2.537466287612915,48.0
14,2.4934885501861572,48.0
15,2.4358644485473633,72.0
16,2.3871419429779053,72.0
17,2.3466603755950928,72.0
18,2.299166202545166,68.0
19,2.2474892139434814,80.0
20,2.1982357501983643,80.0
21,2.142500162124634,80.0
22,2.0933477878570557,88.0
23,2.0469248294830322,80.0
24,2.0047008991241455,84.0
25,1.9583380222320557,84.0
26,1.915449857711792,80.0
27,1.8732496500015259,84.0
28,1.830704927444458,84.0
29,1.793967604637146,92.0
30,1.7621554136276245,80.0
31,1.721530795097351,88.0
32,1.6762161254882812,88.0
33,1.6514792442321777,92.0
34,1.6177780628204346,88.0
35,1.5743048191070557,92.0
36,1.5378074645996094,92.0
37,1.4962913990020752,100.0
38,1.4531713724136353,96.0
39,1.421574354171753,100.0
40,1.390386939048767,92.0
41,1.3534222841262817,96.0
42,1.3148292303085327,96.0
43,1.2781949043273926,96.0
44,1.2389883995056152,96.0
45,1.2043919563293457,96.0
46,1.1966068744659424,96.0
47,1.1544785499572754,100.0
48,1.1275241374969482,96.0
49,1.0988110303878784,100.0
50,1.0683262348175049,100.0
51,1.0398858785629272,100.0
52,1.015201210975647,100.0
53,0.9714024066925049,96.0
54,0.9460890889167786,96.0
55,0.9186943173408508,100.0
56,0.8897756934165955,100.0
57,0.8558750748634338,100.0
58,0.8596249222755432,96.0
59,0.8269068002700806,96.0
60,0.7975881695747375,96.0
61,0.8083407878875732,96.0
62,0.7593034505844116,96.0
63,0.7449852824211121,100.0
64,0.754167914390564,96.0
65,0.7211401462554932,100.0
66,0.694599986076355,100.0
67,0.6699256896972656,96.0
68,0.6322102546691895,100.0
69,0.6140133738517761,100.0
70,0.6075929999351501,100.0
71,0.6036851406097412,100.0
72,0.5919429063796997,100.0
73,0.5668586492538452,100.0
74,0.5498624444007874,96.0
75,0.5863004326820374,96.0
76,0.5202379822731018,96.0
77,0.5493206977844238,100.0
78,0.534842848777771,96.0
79,0.514536440372467,96.0
80,0.48167741298675537,100.0
81,0.45971545577049255,100.0
82,0.4402622878551483,100.0
83,0.4211026132106781,100.0
84,0.4095703065395355,100.0
85,0.4007070064544678,100.0
86,0.3801633417606354,100.0
87,0.37450435757637024,96.0
88,0.36028409004211426,100.0
89,0.34861645102500916,100.0
90,0.3404505252838135,96.0
91,0.340422660112381,100.0
92,0.3243390619754791,100.0
93,0.30982017517089844,100.0
94,0.29467251896858215,100.0
95,0.27519699931144714,100.0
96,0.26439282298088074,100.0
97,0.2523043751716614,100.0
98,0.2435866892337799,100.0
99,0.24638672173023224,100.0
100,0.2466626763343811,100.0
101,0.25020986795425415,96.0
102,0.23573841154575348,100.0
103,0.22066883742809296,100.0
104,0.24424687027931213,100.0
105,0.26472821831703186,100.0
106,0.24229812622070312,100.0
107,0.218881756067276,100.0
108,0.22417216002941132,100.0
109,0.24580879509449005,100.0
110,0.2172052413225174,100.0
111,0.2369004786014557,100.0
112,0.23563091456890106,96.0
113,0.23260265588760376,100.0
114,0.22125034034252167,100.0
115,0.21895018219947815,100.0
116,0.2237696796655655,100.0
117,0.19831521809101105,100.0
118,0.20686836540699005,100.0
119,0.20585185289382935,100.0
120,0.18284401297569275,100.0
121,0.17752236127853394,100.0
122,0.16704334318637848,100.0
123,0.15793335437774658,100.0
124,0.1470540463924408,100.0
125,0.13884496688842773,100.0
126,0.1346587836742401,100.0
127,0.12841151654720306,100.0
128,0.11948823183774948,100.0
129,0.1145736575126648,100.0
130,0.10886893421411514,100.0
