epoch,train_loss,train_accuracy
0,3.2376155853271484,4.0
1,3.17586612701416,4.0
2,3.0947105884552,16.0
3,3.040808916091919,16.0
4,2.9910728931427,28.0
5,2.948479413986206,24.0
6,2.9048516750335693,32.0
7,2.866198778152466,28.0
8,2.8181874752044678,32.0
9,2.777052640914917,36.0
10,2.726078510284424,36.0
11,2.677980899810791,44.0
12,2.6318132877349854,48.0
13,2.5843536853790283,52.0
14,2.540687322616577,52.0
15,2.492094039916992,60.0
16,2.4433510303497314,68.0
17,2.392714738845825,68.0
18,2.344984531402588,64.0
19,2.293585777282715,72.0
20,2.2518115043640137,72.0
21,2.2119836807250977,76.0
22,2.157662868499756,80.0
23,2.1158738136291504,76.0
24,2.068783760070801,80.0
25,2.021517276763916,80.0
26,1.986340045928955,84.0
27,1.9406427145004272,84.0
28,1.8887263536453247,92.0
29,1.8652235269546509,92.0
30,1.8196542263031006,88.0
31,1.785465955734253,88.0
32,1.7230716943740845,88.0
33,1.7041261196136475,92.0
34,1.6679894924163818,92.0
35,1.615206241607666,92.0
36,1.6098092794418335,96.0
37,1.5525745153427124,92.0
38,1.507397174835205,96.0
39,1.4668540954589844,96.0
40,1.4268971681594849,96.0
41,1.384559154510498,96.0
42,1.3449647426605225,96.0
43,1.3212594985961914,96.0
44,1.3107699155807495,96.0
45,1.258845329284668,96.0
46,1.2085055112838745,96.0
47,1.1778308153152466,96.0
48,1.1274757385253906,96.0
49,1.098673939704895,96.0
50,1.1095025539398193,96.0
51,1.0743682384490967,96.0
52,1.0420053005218506,96.0
53,0.997195303440094,100.0
54,0.951109766960144,96.0
55,0.9067741632461548,96.0
56,0.8799792528152466,100.0
57,0.8551971316337585,100.0
58,0.8194738626480103,100.0
59,0.77793288230896,100.0
60,0.7366144061088562,100.0
61,0.7060267925262451,100.0
62,0.6843253970146179,100.0
63,0.6545318365097046,100.0
64,0.6208714246749878,100.0
65,0.6016504168510437,100.0
66,0.5544019937515259,100.0
67,0.5285072326660156,100.0
68,0.4996095895767212,100.0
69,0.48429763317108154,100.0
70,0.45238757133483887,100.0
71,0.44585686922073364,100.0
72,0.4657115936279297,100.0
73,0.4890515208244324,100.0
74,0.43960121273994446,100.0
75,0.42260923981666565,100.0
76,0.41553568840026855,100.0
77,0.36230331659317017,100.0
78,0.34273961186408997,100.0
79,0.3170947730541229,100.0
80,0.3053651750087738,100.0
81,0.2769164443016052,100.0
82,0.26566898822784424,100.0
83,0.24506206810474396,100.0
84,0.22554512321949005,100.0
85,0.20888160169124603,100.0
86,0.19562211632728577,100.0
87,0.18761375546455383,100.0
88,0.1734602302312851,100.0
89,0.16499152779579163,100.0
90,0.16074471175670624,100.0
91,0.15581633150577545,100.0
92,0.14174066483974457,100.0
93,0.13516859710216522,100.0
94,0.13454441726207733,100.0
95,0.12107328325510025,100.0
96,0.11797648668289185,100.0
97,0.10651802271604538,100.0
98,0.10185909271240234,100.0
99,0.09528828412294388,100.0
100,0.08814211189746857,100.0
101,0.08365894109010696,100.0
102,0.07910186052322388,100.0
103,0.07504884898662567,100.0
104,0.07153266668319702,100.0
105,0.06877520680427551,100.0
106,0.06809481978416443,100.0
107,0.06399422883987427,100.0
108,0.061341095715761185,100.0
109,0.06171972304582596,100.0
110,0.05872459337115288,100.0
111,0.05568195879459381,100.0
112,0.05553169548511505,100.0
113,0.05152668431401253,100.0
114,0.0504939928650856,100.0
115,0.046307869255542755,100.0
116,0.04528893157839775,100.0
117,0.04352806881070137,100.0
118,0.039855409413576126,100.0
119,0.038452159613370895,100.0
120,0.03919938579201698,100.0
121,0.0374673455953598,100.0
122,0.03564213588833809,100.0
123,0.034101177006959915,100.0
124,0.03324241563677788,100.0
125,0.032019976526498795,100.0
126,0.030828671529889107,100.0
127,0.028906747698783875,100.0
128,0.027905551716685295,100.0
129,0.02664535492658615,100.0
130,0.025704020634293556,100.0
131,0.02444511465728283,100.0
132,0.023643365129828453,100.0
133,0.022514566779136658,100.0
134,0.021834205836057663,100.0
135,0.02094442769885063,100.0
136,0.020098786801099777,100.0
137,0.01934455707669258,100.0
138,0.018787644803524017,100.0
139,0.018110916018486023,100.0
140,0.01742171309888363,100.0
141,0.01683901995420456,100.0
142,0.01635441742837429,100.0
143,0.01583554968237877,100.0
144,0.015377341769635677,100.0
145,0.014913785271346569,100.0
146,0.014563951641321182,100.0
147,0.014062706381082535,100.0
148,0.013669140636920929,100.0
149,0.013326006010174751,100.0
150,0.012948933988809586,100.0
151,0.012615802697837353,100.0
152,0.012287367135286331,100.0
153,0.012012085877358913,100.0
154,0.011694371700286865,100.0
155,0.0114494813606143,100.0
156,0.011196914128959179,100.0
157,0.010912270285189152,100.0
158,0.010705508291721344,100.0
159,0.010486564598977566,100.0
160,0.010307959280908108,100.0
161,0.010048426687717438,100.0
162,0.010124101303517818,100.0
163,0.009957496076822281,100.0
164,0.009830133989453316,100.0
165,0.009623486548662186,100.0
166,0.009474852122366428,100.0
167,0.009326066821813583,100.0
168,0.009252333082258701,100.0
169,0.00910660158842802,100.0
170,0.008911565877497196,100.0
171,0.00875153299421072,100.0
172,0.008588667958974838,100.0
173,0.008424914442002773,100.0
174,0.008268714882433414,100.0
175,0.008100840263068676,100.0
176,0.00799485482275486,100.0
177,0.007834486663341522,100.0
178,0.007716200314462185,100.0
179,0.0075813899748027325,100.0
180,0.0074587371200323105,100.0
181,0.007340690121054649,100.0
182,0.007211036514490843,100.0
183,0.007096067536622286,100.0
184,0.0069839609786868095,100.0
185,0.0068893455900251865,100.0
186,0.006810827646404505,100.0
187,0.007058904971927404,100.0
188,0.006721709854900837,100.0
189,0.007035710848867893,100.0
190,0.00706690177321434,100.0
191,0.0071089863777160645,100.0
192,0.006596765480935574,100.0
193,0.007304965052753687,100.0
194,0.008153016678988934,100.0
195,0.008598715998232365,100.0
196,0.008598286658525467,100.0
197,0.008624304085969925,100.0
198,0.00824629794806242,100.0
199,0.008253560401499271,100.0
200,0.007965079508721828,100.0
201,0.007824686355888844,100.0
202,0.007584145292639732,100.0
203,0.007480731699615717,100.0
204,0.0073667531833052635,100.0
205,0.007210785057395697,100.0
206,0.0070298705250024796,100.0
207,0.006925538647919893,100.0
208,0.006807447876781225,100.0
209,0.006707044318318367,100.0
210,0.006555576343089342,100.0
211,0.006433699745684862,100.0
212,0.00633626151829958,100.0
213,0.0062507991679012775,100.0
214,0.0061044548638165,100.0
215,0.006027930416166782,100.0
216,0.005897019989788532,100.0
217,0.005831868853420019,100.0
218,0.005733978934586048,100.0
219,0.005709535907953978,100.0
220,0.005843074526637793,100.0
221,0.00586168235167861,100.0
222,0.005741076543927193,100.0
223,0.005646412260830402,100.0
224,0.00555624021217227,100.0
225,0.005426852032542229,100.0
226,0.005353278946131468,100.0
227,0.005238557234406471,100.0
228,0.005141297355294228,100.0
229,0.005057665053755045,100.0
230,0.004974785260856152,100.0
231,0.00488256523385644,100.0
232,0.004829371348023415,100.0
233,0.004791176877915859,100.0
234,0.004703293088823557,100.0
235,0.004642205778509378,100.0
236,0.004582721274346113,100.0
237,0.004511422477662563,100.0
238,0.004443029407411814,100.0
239,0.004385520238429308,100.0
240,0.004340755753219128,100.0
241,0.004340905696153641,100.0
242,0.004273490514606237,100.0
243,0.004228842910379171,100.0
244,0.004205143544822931,100.0
245,0.004116277676075697,100.0
246,0.004053780343383551,100.0
247,0.0040334612131118774,100.0
248,0.004042881075292826,100.0
249,0.003930913284420967,100.0
250,0.004058872815221548,100.0
251,0.004150840453803539,100.0
252,0.004099230282008648,100.0
253,0.004139320459216833,100.0
254,0.0041977656073868275,100.0
255,0.004364460706710815,100.0
256,0.004392132628709078,100.0
257,0.004360915627330542,100.0
258,0.004314187448471785,100.0
259,0.004253222607076168,100.0
260,0.004168736282736063,100.0
261,0.0041067167185246944,100.0
262,0.004042782820761204,100.0
263,0.003986345138400793,100.0
264,0.003939701244235039,100.0
265,0.003894135355949402,100.0
266,0.003967138007283211,100.0
267,0.003899002680554986,100.0
268,0.0038034277968108654,100.0
269,0.003823572304099798,100.0
270,0.00370252737775445,100.0
271,0.003682053880766034,100.0
272,0.0036961145233362913,100.0
273,0.003590058069676161,100.0
274,0.003707037540152669,100.0
275,0.00384034332819283,100.0
276,0.004024730995297432,100.0
277,0.004109426401555538,100.0
278,0.0040976507589221,100.0
279,0.004010513890534639,100.0
280,0.003957144450396299,100.0
281,0.00395288597792387,100.0
282,0.003893346758559346,100.0
