,precision,recall,f1-score,support
fotografica,1.0,1.0,1.0,1.0
fracaso,1.0,1.0,1.0,1.0
frascos,1.0,1.0,1.0,1.0
frecuentas,1.0,1.0,1.0,1.0
fulgores,1.0,1.0,1.0,1.0
funciono,1.0,1.0,1.0,1.0
fundamentacion,1.0,1.0,1.0,1.0
gamboa,1.0,1.0,1.0,1.0
garante,1.0,1.0,1.0,1.0
gemelos,1.0,1.0,1.0,1.0
gernika,1.0,1.0,1.0,1.0
globales,1.0,1.0,1.0,1.0
guateques,1.0,1.0,1.0,1.0
guipuzcoanos,1.0,1.0,1.0,1.0
haberla,1.0,1.0,1.0,1.0
halaga,1.0,1.0,1.0,1.0
hecha,1.0,1.0,1.0,1.0
heeger,1.0,1.0,1.0,1.0
heridos,1.0,1.0,1.0,1.0
herzio,1.0,1.0,1.0,1.0
hiriente,1.0,1.0,1.0,1.0
hispanoamericanos,1.0,1.0,1.0,1.0
hns,1.0,1.0,1.0,1.0
houston,1.0,1.0,1.0,1.0
hungria,1.0,1.0,1.0,1.0
hurley,1.0,1.0,1.0,1.0
identificados,1.0,1.0,1.0,1.0
ilusiones,1.0,1.0,1.0,1.0
imputan,1.0,1.0,1.0,1.0
inexorablemente,1.0,1.0,1.0,1.0
inhabilitado,1.0,1.0,1.0,1.0
inscribia,1.0,1.0,1.0,1.0
inscritos,1.0,1.0,1.0,1.0
inseparable,1.0,1.0,1.0,1.0
insertadas,1.0,1.0,1.0,1.0
inspectores,1.0,1.0,1.0,1.0
instaurar,1.0,1.0,1.0,1.0
integrara,1.0,1.0,1.0,1.0
intemporales,1.0,1.0,1.0,1.0
interesaba,1.0,1.0,1.0,1.0
intermedia,1.0,1.0,1.0,1.0
interponiendo,1.0,1.0,1.0,1.0
intervenir,1.0,1.0,1.0,1.0
ionicas,1.0,1.0,1.0,1.0
irani,1.0,1.0,1.0,1.0
irritando,1.0,1.0,1.0,1.0
isotopos,1.0,1.0,1.0,1.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,200.0
weighted avg,1.0,1.0,1.0,200.0
