language,model,accuracy,precision_weighted,recall_weighted,f1_weighted
es,cornetZ_lstm_decoder_perceptual_v2,0.46,0.4832350597250827,0.46,0.3865745649167727
en,cornetZ_lstm_decoder_perceptual_v2,0.7516666666666667,0.8126540735113941,0.7516666666666667,0.726474078152119
es,cornetZ_lstm_decoder_perceptual_v2,0.46,0.4832350597250827,0.46,0.3865745649167727
en,cornetZ_lstm_decoder_perceptual_v2,0.7516666666666667,0.8126540735113941,0.7516666666666667,0.726474078152119
